"date","cellvalue","n_cells"
2019-01-01,33,484
2019-01-01,NA,44
2019-01-09,32,56
2019-01-09,33,428
2019-01-09,NA,44
2019-01-17,33,484
2019-01-17,NA,44
2019-01-25,33,484
2019-01-25,NA,44
2019-02-02,33,484
2019-02-02,NA,44
2019-02-10,33,484
2019-02-10,NA,44
2019-02-18,33,484
2019-02-18,NA,44
2019-02-26,33,484
2019-02-26,NA,44
2019-03-06,33,484
2019-03-06,NA,44
2019-03-14,33,484
2019-03-14,NA,44
2019-03-22,33,484
2019-03-22,NA,44
2019-03-30,33,484
2019-03-30,NA,44
